,URL,amount,nutrient,recipe
12,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,4mg,Iron,World's Best Lasagna
13,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,0mg,Thiamin,World's Best Lasagna
14,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,10mg,Niacin,World's Best Lasagna
15,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,0mg,Vitamin B6,World's Best Lasagna
16,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,67mg,Magnesium,World's Best Lasagna
17,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,80mcg,Folate,World's Best Lasagna
0,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,12.8g,Total Fat,Broiled Tilapia Parmesan
1,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,5.0g,Saturated Fat,Broiled Tilapia Parmesan
2,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,63mg,Cholesterol,Broiled Tilapia Parmesan
3,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,220mg,Sodium,Broiled Tilapia Parmesan
4,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,479mg,Potassium,Broiled Tilapia Parmesan
5,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0.8g,Total Carbohydrates,Broiled Tilapia Parmesan
6,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0.1g,Dietary Fiber,Broiled Tilapia Parmesan
7,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,25.4g,Protein,Broiled Tilapia Parmesan
8,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0g,Sugars,Broiled Tilapia Parmesan
9,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,321IU,Vitamin A,Broiled Tilapia Parmesan
10,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,3mg,Vitamin C,Broiled Tilapia Parmesan
11,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,95mg,Calcium,Broiled Tilapia Parmesan
12,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0mg,Iron,Broiled Tilapia Parmesan
13,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0mg,Thiamin,Broiled Tilapia Parmesan
14,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,5mg,Niacin,Broiled Tilapia Parmesan
15,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,0mg,Vitamin B6,Broiled Tilapia Parmesan
16,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,36mg,Magnesium,Broiled Tilapia Parmesan
17,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,7mcg,Folate,Broiled Tilapia Parmesan
0,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,23.7g,Total Fat,Awesome Slow Cooker Pot Roast
1,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,9.0g,Saturated Fat,Awesome Slow Cooker Pot Roast
2,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,127mg,Cholesterol,Awesome Slow Cooker Pot Roast
3,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,639mg,Sodium,Awesome Slow Cooker Pot Roast
4,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,768mg,Potassium,Awesome Slow Cooker Pot Roast
5,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,4.9g,Total Carbohydrates,Awesome Slow Cooker Pot Roast
6,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,0.1g,Dietary Fiber,Awesome Slow Cooker Pot Roast
7,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,45.6g,Protein,Awesome Slow Cooker Pot Roast
8,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,1g,Sugars,Awesome Slow Cooker Pot Roast
9,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,15IU,Vitamin A,Awesome Slow Cooker Pot Roast
10,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,0mg,Vitamin C,Awesome Slow Cooker Pot Roast
11,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,20mg,Calcium,Awesome Slow Cooker Pot Roast
12,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,5mg,Iron,Awesome Slow Cooker Pot Roast
13,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,0mg,Thiamin,Awesome Slow Cooker Pot Roast
14,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,17mg,Niacin,Awesome Slow Cooker Pot Roast
15,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,1mg,Vitamin B6,Awesome Slow Cooker Pot Roast
16,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,50mg,Magnesium,Awesome Slow Cooker Pot Roast
17,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,18mcg,Folate,Awesome Slow Cooker Pot Roast
0,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,20.1g,Total Fat,Brown Sugar Meatloaf
1,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,8.0g,Saturated Fat,Brown Sugar Meatloaf
2,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,112mg,Cholesterol,Brown Sugar Meatloaf
3,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,763mg,Sodium,Brown Sugar Meatloaf
4,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,375mg,Potassium,Brown Sugar Meatloaf
5,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,24.1g,Total Carbohydrates,Brown Sugar Meatloaf
6,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,0.4g,Dietary Fiber,Brown Sugar Meatloaf
7,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,18.4g,Protein,Brown Sugar Meatloaf
8,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,18g,Sugars,Brown Sugar Meatloaf
9,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,245IU,Vitamin A,Brown Sugar Meatloaf
10,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,3mg,Vitamin C,Brown Sugar Meatloaf
11,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,61mg,Calcium,Brown Sugar Meatloaf
12,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,2mg,Iron,Brown Sugar Meatloaf
13,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,0mg,Thiamin,Brown Sugar Meatloaf
14,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,8mg,Niacin,Brown Sugar Meatloaf
15,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,0mg,Vitamin B6,Brown Sugar Meatloaf
16,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,26mg,Magnesium,Brown Sugar Meatloaf
