,URL,ingredient
2,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,4 cups Italian seasoned bread crumbs
3,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,"6 cups spaghetti sauce, divided"
4,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,"1 (16 ounce) package mozzarella cheese, shredded and divided"
5,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,"1/2 cup grated Parmesan cheese, divided"
6,https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/,1/2 teaspoon dried basil
0,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,"1 (16 ounce) can black beans, drained and rinsed"
1,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,"1/2 green bell pepper, cut into 2 inch pieces"
2,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,"1/2 onion, cut into wedges"
3,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,"3 cloves garlic, peeled"
4,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,1 egg
5,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,1 tablespoon chili powder
6,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,1 tablespoon cumin
7,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,1 teaspoon Thai chili sauce or hot sauce
8,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,1/2 cup bread crumbs
0,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,"4 cups sweet potato, cubed"
1,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 cup white sugar
2,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,"2 eggs, beaten"
3,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 teaspoon salt
4,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,"4 tablespoons butter, softened"
5,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 cup milk
6,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 teaspoon vanilla extract
7,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 cup packed brown sugar
8,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/3 cup all-purpose flour
9,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,"3 tablespoons butter, softened"
10,https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,1/2 cup chopped pecans
0,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1 (8 ounce) package elbow macaroni
1,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1 (8 ounce) package shredded sharp Cheddar cheese
2,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1 (12 ounce) container small curd cottage cheese
3,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1 (8 ounce) container sour cream
4,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1/4 cup grated Parmesan cheese
5,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,salt and pepper to taste
6,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,1 cup dry bread crumbs
7,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,"1/4 cup butter, melted"
0,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,"6 roma (plum) tomatoes, chopped"
1,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,"1/2 cup sun-dried tomatoes, packed in oil"
2,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,3 cloves minced garlic
3,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,1/4 cup olive oil
4,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,2 tablespoons balsamic vinegar
5,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,"1/4 cup fresh basil, stems removed"
6,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,1/4 teaspoon salt
7,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,1/4 teaspoon ground black pepper
8,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,1 French baguette
9,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,2 cups shredded mozzarella cheese
0,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,2 tablespoons minced garlic
1,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,3 tablespoons olive oil
2,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,"1 large head cauliflower, separated into florets"
3,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,1/3 cup grated Parmesan cheese
4,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,salt and black pepper to taste
5,https://www.allrecipes.com/recipe/54675/roasted-garlic-cauliflower/,1 tablespoon chopped fresh parsley
0,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,4 cloves garlic
1,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,"1 (10 ounce) package frozen chopped spinach, thawed and drained"
2,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,"1 (14 ounce) can artichoke hearts, drained and chopped"
3,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,1 (10 ounce) container Alfredo-style pasta sauce
4,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,1 cup shredded mozzarella cheese
5,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,1/3 cup grated Parmesan cheese
6,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/,"1/2 (8 ounce) package cream cheese, softened"
0,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,"1 (8 ounce) package cream cheese, softened"
1,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,1/4 cup mayonnaise
2,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,1/4 cup grated Parmesan cheese
3,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,1/4 cup grated Romano cheese
4,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,"1 clove garlic, peeled and minced"
5,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,1/2 teaspoon dried basil
6,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,1/4 teaspoon garlic salt
7,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,salt and pepper to taste
